Time ,cost/client/h ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:02:14 UTC 2014,0.0029,44.85,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:34 UTC 2014,0.0084,40.1,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:47 UTC 2014,0.0084,40.1,4,,
Wed Feb 12 16:02:56 UTC 2014,0.0282,41.65,4,,
Wed Feb 12 16:03:08 UTC 2014,0.0282,41.65,4,,
Wed Feb 12 16:03:15 UTC 2014,0.48,43.6,4,,
Wed Feb 12 16:03:23 UTC 2014,0.48,43.6,4,,
Wed Feb 12 16:03:29 UTC 2014,0.0058,43.4,4,,
Wed Feb 12 16:03:47 UTC 2014,0.0058,43.4,4,,
Wed Feb 12 16:03:57 UTC 2014,0.0069,43.45,4,,
Wed Feb 12 16:04:13 UTC 2014,0.0141,38.2,4,,
Wed Feb 12 16:04:25 UTC 2014,0.0141,38.2,4,,
Wed Feb 12 16:04:40 UTC 2014,0.0026,43.6,4,,
Wed Feb 12 16:04:53 UTC 2014,0.0015,38.4,4,,
Wed Feb 12 16:05:03 UTC 2014,0.0079,43.85,4,,
Wed Feb 12 16:05:19 UTC 2014,0.48,43.15,4,,
Wed Feb 12 16:05:30 UTC 2014,0.0023,37.45,4,,
Wed Feb 12 16:05:43 UTC 2014,0.0015,42.85,4,,
Wed Feb 12 16:05:57 UTC 2014,0.0076,37.7,4,,
Wed Feb 12 16:06:08 UTC 2014,0.0209,49.8,4,,
Wed Feb 12 16:06:26 UTC 2014,0.0209,49.8,4,,
Wed Feb 12 16:06:36 UTC 2014,0.0026,49.8,4,,
Wed Feb 12 16:06:48 UTC 2014,0.0026,43.7,4,,
Wed Feb 12 16:07:07 UTC 2014,0.0166,37.9,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:24 UTC 2014,0.0023,38.8,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:34 UTC 2014,0.0017,43.7,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:48 UTC 2014,0.0017,44.8,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:58 UTC 2014,0.016,43.65,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:11 UTC 2014,0.016,43.65,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:22 UTC 2014,0.48,40.8,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:34 UTC 2014,0.48,31.55,4,,
Wed Feb 12 16:08:43 UTC 2014,0.6,36.75,5,,
Wed Feb 12 16:08:54 UTC 2014,0.6,36.75,5,,
Wed Feb 12 16:09:09 UTC 2014,0.6,36.75,5,,
Wed Feb 12 16:09:23 UTC 2014,0.6,40.2,5,,
Wed Feb 12 16:09:33 UTC 2014,0.6,40.2,5,,
Wed Feb 12 16:09:45 UTC 2014,0.6,30,5,,
Wed Feb 12 16:09:57 UTC 2014,0.6,39.6,5,,
Wed Feb 12 16:10:11 UTC 2014,0.6,33.75,5,,
Wed Feb 12 16:10:24 UTC 2014,0.6,33.75,5,,
Wed Feb 12 16:10:35 UTC 2014,0.6,37.5,5,,
Wed Feb 12 16:10:48 UTC 2014,0.6,30.25,5,,
Wed Feb 12 16:10:58 UTC 2014,0.6,30.25,5,,
Wed Feb 12 16:11:11 UTC 2014,0.6,30.25,5,,
Wed Feb 12 16:11:17 UTC 2014,0.6,38.7,5,,
Wed Feb 12 16:11:27 UTC 2014,0.6,28.85,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:11:48 UTC 2014,0.6,28.85,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:11:58 UTC 2014,0.6,44.6,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:08 UTC 2014,0.0102,33.3,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:18 UTC 2014,0.0047,47.1,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:31 UTC 2014,0.0047,47.1,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:41 UTC 2014,0.0074,45.4,5,,
Wed Feb 12 16:12:53 UTC 2014,0.0073,40.35,6,,
Wed Feb 12 16:13:08 UTC 2014,0.0073,40.35,6,,
Wed Feb 12 16:13:19 UTC 2014,0.0225,40.35,6,,
Wed Feb 12 16:13:26 UTC 2014,0.0225,40.35,6,,
Wed Feb 12 16:13:36 UTC 2014,0.0114,43,6,,
Wed Feb 12 16:13:49 UTC 2014,0.0114,43,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:00 UTC 2014,0.0039,48.975,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:10 UTC 2014,0.0039,48.975,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:20 UTC 2014,0.0313,55.225,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:35 UTC 2014,0.0313,55.225,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:44 UTC 2014,0.0035,59.125,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:15:00 UTC 2014,0.0035,46.175,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:15:17 UTC 2014,0.0032,46.175,7,,
Wed Feb 12 16:15:24 UTC 2014,0.0109,44.15,7,,
Wed Feb 12 16:15:31 UTC 2014,0.0109,44.15,7,,
Wed Feb 12 16:15:43 UTC 2014,0.0087,50.175,7,,
Wed Feb 12 16:15:55 UTC 2014,0.0087,50.175,7,,
Wed Feb 12 16:16:08 UTC 2014,0.0323,35.6,7,,
Wed Feb 12 16:16:21 UTC 2014,0.0323,35.6,7,,
