Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:02:49 UTC 2014,39.3,0.12,0.1869,1,,
Wed Feb 12 16:03:04 UTC 2014,42.6,0.12,0.1869,1,,
Wed Feb 12 16:03:19 UTC 2014,36,0.12,0.1869,1,,
Wed Feb 12 16:03:33 UTC 2014,36,0.12,0.1869,1,,
Wed Feb 12 16:03:43 UTC 2014,36,0.12,0.1869,1,,
Wed Feb 12 16:03:59 UTC 2014,36,0.12,0.1869,1,,
Wed Feb 12 16:04:10 UTC 2014,36,0.12,0.1869,1,,
Wed Feb 12 16:04:29 UTC 2014,36,0.12,0.1869,1,,
Wed Feb 12 16:04:37 UTC 2014,35.9,0.12,0.1869,1,,
Wed Feb 12 16:04:55 UTC 2014,35.9,0.12,0.1869,1,,
Wed Feb 12 16:05:12 UTC 2014,35.9,0.12,0.1869,1,,
Wed Feb 12 16:05:22 UTC 2014,34.6,0.12,0.1869,1,,
Wed Feb 12 16:05:40 UTC 2014,34.6,0.12,0.1869,1,,
Wed Feb 12 16:05:51 UTC 2014,34.6,0.12,0.1869,1,,
Wed Feb 12 16:06:05 UTC 2014,34.6,0.12,0.1869,1,,
Wed Feb 12 16:06:18 UTC 2014,43.7,0.12,0.1869,1,,
Wed Feb 12 16:06:33 UTC 2014,43.7,0.12,0.1869,1,,
Wed Feb 12 16:06:41 UTC 2014,35.7,0.12,0.1869,1,,
Wed Feb 12 16:07:01 UTC 2014,35.7,0.12,0.1869,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:17 UTC 2014,35.7,0.12,0.1869,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:32 UTC 2014,35.7,0.12,0.1869,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:43 UTC 2014,35.7,0.12,0.1869,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:55 UTC 2014,35.5,0.12,0.1869,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:07 UTC 2014,33.2,0.12,0.1869,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:19 UTC 2014,33.2,0.12,0.1869,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:33 UTC 2014,30.1,0.12,0.1869,1,,
Wed Feb 12 16:08:44 UTC 2014,30.1,0.12,0.1869,1,,
Wed Feb 12 16:08:53 UTC 2014,30.1,0.12,0.1869,1,,
Wed Feb 12 16:09:11 UTC 2014,30.1,0.12,0.1869,1,,
Wed Feb 12 16:09:21 UTC 2014,36.7,0.12,0.1869,1,,
Wed Feb 12 16:09:35 UTC 2014,36.7,0.12,0.1869,1,,
Wed Feb 12 16:09:44 UTC 2014,27.5,0.12,0.1869,1,,
Wed Feb 12 16:09:59 UTC 2014,29.6,0.12,0.1869,1,,
Wed Feb 12 16:10:09 UTC 2014,35.2,0.12,0.1869,1,,
Wed Feb 12 16:10:26 UTC 2014,35.2,0.12,0.1869,1,,
Wed Feb 12 16:10:33 UTC 2014,25.7,0.12,0.1869,1,,
Wed Feb 12 16:10:40 UTC 2014,25.7,0.12,0.1869,1,,
Wed Feb 12 16:10:51 UTC 2014,27.9,0.12,0.1869,1,,
Wed Feb 12 16:11:04 UTC 2014,27.9,0.12,0.1869,1,,
Wed Feb 12 16:11:15 UTC 2014,27.9,0.12,0.1869,1,,
Wed Feb 12 16:11:30 UTC 2014,27.9,0.12,0.1869,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:11:45 UTC 2014,26.8,0.12,0.1869,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:11:56 UTC 2014,30.2,0.12,0.1869,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:07 UTC 2014,30.2,0.12,0.1869,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:19 UTC 2014,30.2,0.12,0.1869,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:31 UTC 2014,41.8,0.12,0.1869,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:43 UTC 2014,38.4,0.12,0.1869,1,,
Wed Feb 12 16:12:53 UTC 2014,38.4,0.12,0.1869,1,,
Wed Feb 12 16:13:07 UTC 2014,38.4,0.12,0.1869,1,,
Wed Feb 12 16:13:21 UTC 2014,38.4,0.12,0.1869,1,,
Wed Feb 12 16:13:33 UTC 2014,35.6,0.12,0.1869,1,,
Wed Feb 12 16:13:42 UTC 2014,35.6,0.12,0.1869,1,,
Wed Feb 12 16:13:51 UTC 2014,32.2,0.12,0.1868,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
