Time ,cpuUsage ,cost ,latency ,numberOfVMs ,ongoingAction,targetedNodeID
Wed Feb 12 16:02:15 UTC 2014,44.85,0.24,0.1869,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:35 UTC 2014,40.1,0.24,0.1869,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:47 UTC 2014,40.1,0.24,0.1869,2,,
Wed Feb 12 16:02:55 UTC 2014,41.65,0.24,0.1869,2,,
Wed Feb 12 16:03:08 UTC 2014,43.6,0.24,0.1869,2,,
Wed Feb 12 16:03:26 UTC 2014,38.25,0.24,0.1869,2,,
Wed Feb 12 16:03:36 UTC 2014,43.4,0.24,0.1869,2,,
Wed Feb 12 16:03:51 UTC 2014,37.95,0.24,0.1869,2,,
Wed Feb 12 16:04:04 UTC 2014,43.45,0.24,0.1869,2,,
Wed Feb 12 16:04:22 UTC 2014,38.2,0.24,0.1869,2,,
Wed Feb 12 16:04:31 UTC 2014,38.2,0.24,0.1869,2,,
Wed Feb 12 16:04:46 UTC 2014,43.6,0.24,0.1869,2,,
Wed Feb 12 16:04:57 UTC 2014,38.4,0.24,0.1869,2,,
Wed Feb 12 16:05:08 UTC 2014,43.15,0.24,0.1869,2,,
Wed Feb 12 16:05:25 UTC 2014,37.45,0.24,0.1869,2,,
Wed Feb 12 16:05:37 UTC 2014,42.85,0.24,0.1869,2,,
Wed Feb 12 16:05:52 UTC 2014,37.7,0.24,0.1869,2,,
Wed Feb 12 16:06:04 UTC 2014,37.7,0.24,0.1869,2,,
Wed Feb 12 16:06:19 UTC 2014,49.8,0.24,0.1869,2,,
Wed Feb 12 16:06:33 UTC 2014,49.8,0.24,0.1869,2,,
Wed Feb 12 16:06:42 UTC 2014,43.7,0.24,0.1869,2,,
Wed Feb 12 16:06:59 UTC 2014,43.7,0.24,0.1869,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:19 UTC 2014,37.9,0.24,0.1869,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:30 UTC 2014,38.8,0.24,0.1869,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:46 UTC 2014,44.8,0.24,0.1869,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:03 UTC 2014,43.65,0.24,0.1869,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:14 UTC 2014,43.65,0.24,0.1869,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:25 UTC 2014,40.8,0.24,0.1869,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:39 UTC 2014,31.55,0.24,0.1869,2,,
Wed Feb 12 16:08:50 UTC 2014,36.75,0.24,0.1869,2,,
Wed Feb 12 16:09:03 UTC 2014,36.75,0.24,0.1869,2,,
Wed Feb 12 16:09:14 UTC 2014,36.75,0.24,0.1869,2,,
Wed Feb 12 16:09:28 UTC 2014,40.2,0.24,0.1869,2,,
Wed Feb 12 16:09:39 UTC 2014,30,0.24,0.1869,2,,
Wed Feb 12 16:09:54 UTC 2014,30,0.24,0.1869,2,,
Wed Feb 12 16:10:00 UTC 2014,39.6,0.24,0.1869,2,,
Wed Feb 12 16:10:07 UTC 2014,39.6,0.24,0.1869,2,,
Wed Feb 12 16:10:13 UTC 2014,39.6,0.24,0.1869,2,,
Wed Feb 12 16:10:21 UTC 2014,37.5,0.24,0.1869,2,,
Wed Feb 12 16:10:39 UTC 2014,37.5,0.24,0.1869,2,,
Wed Feb 12 16:10:53 UTC 2014,30.25,0.24,0.1869,2,,
Wed Feb 12 16:11:03 UTC 2014,30.25,0.24,0.1869,2,,
Wed Feb 12 16:11:16 UTC 2014,38.7,0.24,0.1869,2,,
Wed Feb 12 16:11:29 UTC 2014,38.7,0.24,0.1869,2,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:11:47 UTC 2014,28.85,0.24,0.1869,2,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:00 UTC 2014,44.6,0.24,0.1869,2,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:16 UTC 2014,33.3,0.24,0.1869,2,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:29 UTC 2014,45.4,0.24,0.1869,2,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
