Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:02:18 UTC 2014,50.4,0.12,0.1345,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:31 UTC 2014,50.4,0.12,0.1345,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:42 UTC 2014,40.9,0.12,0.1345,1,,
Wed Feb 12 16:02:55 UTC 2014,40.7,0.12,0.1345,1,,
Wed Feb 12 16:03:11 UTC 2014,51.2,0.12,0.1345,1,,
Wed Feb 12 16:03:25 UTC 2014,40.5,0.12,0.1345,1,,
Wed Feb 12 16:03:37 UTC 2014,50.8,0.12,0.1345,1,,
Wed Feb 12 16:03:49 UTC 2014,39.9,0.12,0.1345,1,,
Wed Feb 12 16:04:05 UTC 2014,50.9,0.12,0.1345,1,,
Wed Feb 12 16:04:21 UTC 2014,40.4,0.12,0.1345,1,,
Wed Feb 12 16:04:32 UTC 2014,40.4,0.12,0.1345,1,,
Wed Feb 12 16:04:45 UTC 2014,51.3,0.12,0.1345,1,,
Wed Feb 12 16:04:59 UTC 2014,40.9,0.12,0.1345,1,,
Wed Feb 12 16:05:07 UTC 2014,50.4,0.12,0.1345,1,,
Wed Feb 12 16:05:26 UTC 2014,50.4,0.12,0.1345,1,,
Wed Feb 12 16:05:35 UTC 2014,51.1,0.12,0.1345,1,,
Wed Feb 12 16:05:54 UTC 2014,40.8,0.12,0.1345,1,,
Wed Feb 12 16:06:03 UTC 2014,40.8,0.12,0.1345,1,,
Wed Feb 12 16:06:20 UTC 2014,55.9,0.12,0.1345,1,,
Wed Feb 12 16:06:32 UTC 2014,55.9,0.12,0.1345,1,,
Wed Feb 12 16:06:43 UTC 2014,51.7,0.12,0.1345,1,,
Wed Feb 12 16:06:58 UTC 2014,51.7,0.12,0.1346,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:20 UTC 2014,41.9,0.12,0.1346,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:40 UTC 2014,51.7,0.12,0.1346,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:52 UTC 2014,54.1,0.12,0.1346,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:05 UTC 2014,54.1,0.12,0.1346,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:18 UTC 2014,48.4,0.12,0.1346,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:30 UTC 2014,33,0.12,0.1346,1,,
Wed Feb 12 16:08:42 UTC 2014,43.4,0.12,0.1346,1,,
Wed Feb 12 16:08:58 UTC 2014,43.4,0.12,0.1346,1,,
Wed Feb 12 16:09:06 UTC 2014,43.4,0.12,0.1346,1,,
Wed Feb 12 16:09:12 UTC 2014,43.4,0.12,0.1346,1,,
Wed Feb 12 16:09:20 UTC 2014,43.7,0.12,0.1346,1,,
Wed Feb 12 16:09:36 UTC 2014,43.7,0.12,0.1346,1,,
Wed Feb 12 16:09:42 UTC 2014,32.5,0.12,0.1346,1,,
Wed Feb 12 16:09:51 UTC 2014,49.6,0.12,0.1346,1,,
Wed Feb 12 16:10:06 UTC 2014,49.6,0.12,0.1346,1,,
Wed Feb 12 16:10:15 UTC 2014,32.3,0.12,0.1346,1,,
Wed Feb 12 16:10:30 UTC 2014,49.3,0.12,0.1346,1,,
Wed Feb 12 16:10:41 UTC 2014,49.3,0.12,0.1346,1,,
Wed Feb 12 16:10:50 UTC 2014,32.6,0.12,0.1346,1,,
Wed Feb 12 16:11:05 UTC 2014,32.6,0.12,0.1346,1,,
Wed Feb 12 16:11:14 UTC 2014,32.6,0.12,0.1346,1,,
Wed Feb 12 16:11:21 UTC 2014,49.5,0.12,0.1346,1,,
Wed Feb 12 16:11:36 UTC 2014,30.9,0.12,0.1346,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:11:50 UTC 2014,59,0.12,0.1346,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:01 UTC 2014,59,0.12,0.1346,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:14 UTC 2014,36.4,0.12,0.1346,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:26 UTC 2014,52.4,0.12,0.1346,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:41 UTC 2014,52.4,0.12,0.1346,1,,
Wed Feb 12 16:12:53 UTC 2014,42.3,0.24,0.1345,2,,
Wed Feb 12 16:13:06 UTC 2014,42.3,0.24,0.1345,2,,
Wed Feb 12 16:13:13 UTC 2014,42.3,0.24,0.1345,2,,
Wed Feb 12 16:13:23 UTC 2014,50.4,0.24,0.1345,2,,
Wed Feb 12 16:13:40 UTC 2014,50.4,0.24,0.1345,2,,
Wed Feb 12 16:13:46 UTC 2014,50.4,0.24,0.1345,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:07 UTC 2014,65.75,0.24,0.0673,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:17 UTC 2014,67.85,0.24,0,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:29 UTC 2014,67.85,0.24,0,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:43 UTC 2014,71.65,0.24,0,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:54 UTC 2014,71.65,0.24,0,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:15:06 UTC 2014,55.05,0.24,0.4373,2,,
Wed Feb 12 16:15:19 UTC 2014,55.05,0.24,0.4373,2,,
Wed Feb 12 16:15:31 UTC 2014,54.5,0.24,0.4026,2,,
Wed Feb 12 16:15:45 UTC 2014,63.05,0.24,0.3845,2,,
Wed Feb 12 16:15:54 UTC 2014,63.05,0.24,0.3845,2,,
Wed Feb 12 16:16:09 UTC 2014,42.5,0.24,0.3743,2,,
Wed Feb 12 16:16:20 UTC 2014,42.5,0.24,0.3743,2,,
Wed Feb 12 16:16:37 UTC 2014,65.75,0.24,0.3695,2,,
Wed Feb 12 16:16:47 UTC 2014,65.75,0.24,0.3695,2,,
Wed Feb 12 16:17:02 UTC 2014,67.25,0.24,0.3614,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:18 UTC 2014,67.25,0.24,0.3614,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:30 UTC 2014,67.25,0.24,0.3614,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:45 UTC 2014,58.3,0.24,0.3355,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:56 UTC 2014,49,0.24,0.3208,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:18:10 UTC 2014,49,0.24,0.3208,2,,
Wed Feb 12 16:18:27 UTC 2014,45,0.24,0.3208,2,,
Wed Feb 12 16:18:34 UTC 2014,48.05,0.24,0.3206,2,,
Wed Feb 12 16:18:49 UTC 2014,48.05,0.24,0.3206,2,,
Wed Feb 12 16:18:59 UTC 2014,48.05,0.24,0.3206,2,,
Wed Feb 12 16:19:07 UTC 2014,48.05,0.24,0.3206,2,,
Wed Feb 12 16:19:22 UTC 2014,48.05,0.24,0.3206,2,,
Wed Feb 12 16:19:33 UTC 2014,54.25,0.24,0.3197,2,,
Wed Feb 12 16:19:44 UTC 2014,54.25,0.24,0.3197,2,,
Wed Feb 12 16:19:57 UTC 2014,42.8,0.24,0.3197,2,,
Wed Feb 12 16:20:16 UTC 2014,42.8,0.24,0.3197,2,,
Wed Feb 12 16:20:24 UTC 2014,42.8,0.24,0.3197,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:20:35 UTC 2014,42.95,0.24,0.3197,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:20:50 UTC 2014,46.7,0.24,0.3195,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:01 UTC 2014,46.7,0.24,0.3195,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:12 UTC 2014,46.7,0.24,0.3195,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:24 UTC 2014,48.6,0.24,0.3164,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:35 UTC 2014,48.6,0.24,0.3156,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:49 UTC 2014,49.4,0.24,0.3156,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:59 UTC 2014,49.4,0.24,0.3156,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:12 UTC 2014,49.4,0.24,0.3156,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:25 UTC 2014,64.6,0.24,0.3072,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:40 UTC 2014,64.6,0.24,0.3072,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:52 UTC 2014,61.6,0.24,0.3006,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:12 UTC 2014,61.6,0.24,0.3006,2,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:24 UTC 2014,54.3,0.24,0.2798,2,,
Wed Feb 12 16:23:37 UTC 2014,58.7,0.24,0.2742,2,,
Wed Feb 12 16:23:51 UTC 2014,58.7,0.24,0.2742,2,,
Wed Feb 12 16:24:01 UTC 2014,58.35,0.24,0.27,2,,
Wed Feb 12 16:24:21 UTC 2014,58.35,0.24,0.27,2,,
Wed Feb 12 16:24:30 UTC 2014,58.35,0.24,0.27,2,,
Wed Feb 12 16:24:41 UTC 2014,58.6,0.24,0.2624,2,,
Wed Feb 12 16:24:50 UTC 2014,58.6,0.24,0.2624,2,,
Wed Feb 12 16:25:02 UTC 2014,54.3,0.24,0.2597,2,,
Wed Feb 12 16:25:15 UTC 2014,54.3,0.24,0.2597,2,,
Wed Feb 12 16:25:22 UTC 2014,63.2,0.24,0.256,2,,
