Time ,cost ,responseTime ,throughput ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:02:11 UTC 2014,0.12,6,138,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:28 UTC 2014,0.12,6,145,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:46 UTC 2014,0.12,6,145,1,,
Wed Feb 12 16:02:56 UTC 2014,0.12,6,153,1,,
Wed Feb 12 16:03:07 UTC 2014,0.12,6,153,1,,
Wed Feb 12 16:03:16 UTC 2014,0.12,6,33,1,,
Wed Feb 12 16:03:34 UTC 2014,0.12,6,33,1,,
Wed Feb 12 16:03:40 UTC 2014,0.12,5,82,1,,
Wed Feb 12 16:03:47 UTC 2014,0.12,5,82,1,,
Wed Feb 12 16:03:54 UTC 2014,0.12,7,136,1,,
Wed Feb 12 16:04:02 UTC 2014,0.12,7,136,1,,
Wed Feb 12 16:04:08 UTC 2014,0.12,5,170,1,,
Wed Feb 12 16:04:19 UTC 2014,0.12,7,146,1,,
Wed Feb 12 16:04:34 UTC 2014,0.12,7,146,1,,
Wed Feb 12 16:04:43 UTC 2014,0.12,8,144,1,,
Wed Feb 12 16:04:50 UTC 2014,0.12,6,139,1,,
Wed Feb 12 16:05:06 UTC 2014,0.12,7,125,1,,
Wed Feb 12 16:05:13 UTC 2014,0.12,7,125,1,,
Wed Feb 12 16:05:21 UTC 2014,0.12,6,128,1,,
Wed Feb 12 16:05:27 UTC 2014,0.12,6,128,1,,
Wed Feb 12 16:05:35 UTC 2014,0.12,6,141,1,,
Wed Feb 12 16:05:41 UTC 2014,0.12,6,141,1,,
Wed Feb 12 16:05:49 UTC 2014,0.12,6,171,1,,
Wed Feb 12 16:05:55 UTC 2014,0.12,6,143,1,,
Wed Feb 12 16:06:02 UTC 2014,0.12,6,143,1,,
Wed Feb 12 16:06:21 UTC 2014,0.12,6,151,1,,
Wed Feb 12 16:06:31 UTC 2014,0.12,7,13,1,,
Wed Feb 12 16:06:45 UTC 2014,0.12,6,154,1,,
Wed Feb 12 16:06:56 UTC 2014,0.12,7,1,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:21 UTC 2014,0.12,7,129,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:39 UTC 2014,0.12,6,155,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:54 UTC 2014,0.12,5,0,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:09 UTC 2014,0.12,0,0,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:22 UTC 2014,0.12,7,146,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:37 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:08:52 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:09:01 UTC 2014,0.24,-0.5,-1,2,,
Wed Feb 12 16:09:18 UTC 2014,0.24,-0.5,-1,2,,
Wed Feb 12 16:09:25 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:09:41 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:09:52 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:10:05 UTC 2014,0.24,4,13,2,,
Wed Feb 12 16:10:17 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:10:29 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:10:42 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:10:49 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:10:56 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:11:12 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:11:23 UTC 2014,0.24,0,0,2,,
Wed Feb 12 16:11:33 UTC 2014,0.24,0,0,2,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:11:51 UTC 2014,0.24,2.5,42,2,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:03 UTC 2014,0.24,6,282,2,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:18 UTC 2014,0.24,5,264,2,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:34 UTC 2014,0.24,4,150,2,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:47 UTC 2014,0.24,4,150,2,,
Wed Feb 12 16:12:54 UTC 2014,0.24,9,171,2,,
Wed Feb 12 16:13:04 UTC 2014,0.24,9,171,2,,
Wed Feb 12 16:13:15 UTC 2014,0.24,9,171,2,,
Wed Feb 12 16:13:22 UTC 2014,0.24,637.5,211,2,,
Wed Feb 12 16:13:30 UTC 2014,0.24,4.5,128,2,,
Wed Feb 12 16:13:45 UTC 2014,0.24,6.5,120,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:10 UTC 2014,0.24,6.5,120,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:22 UTC 2014,0.24,8.5,194,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:34 UTC 2014,0.24,5.5,221,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:47 UTC 2014,0.24,5.5,221,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:58 UTC 2014,0.24,5.5,221,2,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:15:10 UTC 2014,0.36,5.5,124,3,,
Wed Feb 12 16:15:20 UTC 2014,0.36,5.5,124,3,,
Wed Feb 12 16:15:27 UTC 2014,0.36,7,188,3,,
