Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:02:17 UTC 2014,0.12,165,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:31 UTC 2014,0.12,165,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:42 UTC 2014,0.12,57,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:53 UTC 2014,0.12,57,1,,
Wed Feb 12 16:03:03 UTC 2014,0.12,1,1,,
Wed Feb 12 16:03:21 UTC 2014,0.12,1,1,,
Wed Feb 12 16:03:32 UTC 2014,0.12,181,1,,
Wed Feb 12 16:03:44 UTC 2014,0.12,110,1,,
Wed Feb 12 16:03:58 UTC 2014,0.12,70,1,,
Wed Feb 12 16:04:12 UTC 2014,0.12,34,1,,
Wed Feb 12 16:04:27 UTC 2014,0.12,34,1,,
Wed Feb 12 16:04:38 UTC 2014,0.12,183,1,,
Wed Feb 12 16:04:55 UTC 2014,0.12,310,1,,
Wed Feb 12 16:05:01 UTC 2014,0.12,61,1,,
Wed Feb 12 16:05:20 UTC 2014,0.12,0,1,,
Wed Feb 12 16:05:28 UTC 2014,0.12,205,1,,
Wed Feb 12 16:05:46 UTC 2014,0.12,322,1,,
Wed Feb 12 16:05:56 UTC 2014,0.12,63,1,,
Wed Feb 12 16:06:10 UTC 2014,0.12,63,1,,
Wed Feb 12 16:06:24 UTC 2014,0.12,23,1,,
Wed Feb 12 16:06:38 UTC 2014,0.12,184,1,,
Wed Feb 12 16:06:46 UTC 2014,0.12,180,1,,
Wed Feb 12 16:06:53 UTC 2014,0.12,180,1,,
Wed Feb 12 16:07:03 UTC 2014,0.12,188,1,,
Wed Feb 12 16:07:11 UTC 2014,0.12,29,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:22 UTC 2014,0.12,208,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:36 UTC 2014,0.12,290,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:46 UTC 2014,0.12,80,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:00 UTC 2014,0.12,30,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:10 UTC 2014,0.12,30,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:20 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:31 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:41 UTC 2014,0.12,0,1,,
Wed Feb 12 16:08:48 UTC 2014,0.12,0,1,,
Wed Feb 12 16:09:05 UTC 2014,0.12,0,1,,
Wed Feb 12 16:09:13 UTC 2014,0.12,0,1,,
Wed Feb 12 16:09:29 UTC 2014,0.12,0,1,,
Wed Feb 12 16:09:38 UTC 2014,0.12,0,1,,
Wed Feb 12 16:09:55 UTC 2014,0.12,0,1,,
Wed Feb 12 16:10:13 UTC 2014,0.12,0,1,,
Wed Feb 12 16:10:22 UTC 2014,0.12,0,1,,
Wed Feb 12 16:10:37 UTC 2014,0.12,0,1,,
Wed Feb 12 16:10:45 UTC 2014,0.12,0,1,,
Wed Feb 12 16:11:00 UTC 2014,0.12,0,1,,
Wed Feb 12 16:11:07 UTC 2014,0.12,0,1,,
Wed Feb 12 16:11:20 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
