Time ,cpu_idle ,connectionRate ,instance , ongoingAction, targetedNodeID
1423142880533,97.2,4.0,1.0,EventProcessingUnit,ScaleOut,
1423142885540,97.2,46.0,1.0,EventProcessingUnit,ScaleOut,
1423142890550,97.4,8.0,1.0,EventProcessingUnit,ScaleOut,
1423142895563,97.4,34.0,1.0,EventProcessingUnit,ScaleOut,
1423142900591,96.9,20.0,1.0,EventProcessingUnit,ScaleOut,
1423142905575,96.9,23.0,1.0,EventProcessingUnit,ScaleOut,
1423142910567,94.7,30.0,1.0,EventProcessingUnit,ScaleOut,
1423142915572,94.7,12.0,1.0,EventProcessingUnit,ScaleOut,
1423142920596,98.0,41.0,1.0,EventProcessingUnit,ScaleOut,
1423142925616,98.0,1.0,1.0,EventProcessingUnit,ScaleOut,
1423142930600,97.2,42.0,1.0,EventProcessingUnit,ScaleOut,
1423142935579,97.2,12.0,1.0,EventProcessingUnit,ScaleOut,
1423142940585,94.2,30.0,1.0,EventProcessingUnit,ScaleOut,
1423142945583,94.2,23.0,1.0,EventProcessingUnit,ScaleOut,
1423142950591,97.5,19.0,1.0,EventProcessingUnit,ScaleOut,
1423142955582,97.5,34.0,1.0,EventProcessingUnit,ScaleOut,
1423142960590,97.0,8.0,1.0,EventProcessingUnit,ScaleOut,
1423142965592,97.0,45.0,1.0,EventProcessingUnit,ScaleOut,
1423142970596,94.4,4.0,1.0,EventProcessingUnit,ScaleOut,
1423142975598,94.4,38.0,1.0,EventProcessingUnit,ScaleOut,
1423142980596,97.8,16.0,1.0,EventProcessingUnit,ScaleOut,
1423142985605,97.8,26.0,1.0,EventProcessingUnit,ScaleOut,
1423142990610,93.3,26.0,1.0,EventProcessingUnit,ScaleOut,
1423142995605,93.3,16.0,1.0,EventProcessingUnit,ScaleOut,
1423143000605,96.5,37.0,1.0,EventProcessingUnit,ScaleOut,
1423143005613,96.5,4.0,1.0,EventProcessingUnit,ScaleOut,
1423143010601,97.8,46.0,1.0,EventProcessingUnit,ScaleOut,
1423143015606,97.8,7.0,1.0,EventProcessingUnit,ScaleOut,
1423143020606,96.6,35.0,1.0,EventProcessingUnit,ScaleOut,
1423143025605,96.6,18.0,1.0,EventProcessingUnit,ScaleOut,
1423143030626,96.8,23.0,1.0,EventProcessingUnit,ScaleOut,
1423143035619,96.8,31.0,1.0,EventProcessingUnit,ScaleOut,
1423143040619,97.6,12.0,1.0,EventProcessingUnit,ScaleOut,
1423143045631,97.6,41.0,1.0,EventProcessingUnit,ScaleOut,
1423143050622,96.5,1.0,1.0,EventProcessingUnit,ScaleOut,
1423143055622,96.5,42.0,1.0,EventProcessingUnit,ScaleOut,
1423143060621,97.0,11.0,1.0,EventProcessingUnit,ScaleOut,
1423143065622,97.0,31.0,1.0,EventProcessingUnit,ScaleOut,
1423143070625,97.5,23.0,1.0,EventProcessingUnit,ScaleOut,
1423143075626,97.5,19.0,1.0,EventProcessingUnit,ScaleOut,
1423143080633,96.5,33.0,1.0,EventProcessingUnit,ScaleOut,
1423143085633,96.5,8.0,1.0,EventProcessingUnit,ScaleOut,
1423143090646,96.7,45.0,1.0,EventProcessingUnit,ScaleOut,
1423143095632,96.7,4.0,1.0,EventProcessingUnit,ScaleOut,
1423143100633,97.5,37.0,1.0,EventProcessingUnit,ScaleOut,
1423143105642,97.5,16.0,1.0,EventProcessingUnit,ScaleOut,
1423143110635,97.2,26.0,1.0,EventProcessingUnit,ScaleOut,
1423143115663,97.2,0.0,1.0,EventProcessingUnit,ScaleOut,
1423143120641,96.7,82.0,1.0,EventProcessingUnit,ScaleOut,
1423143125640,96.7,14.0,1.0,EventProcessingUnit,ScaleOut,
1423143130648,95.2,63.0,1.0,EventProcessingUnit,ScaleOut,
1423143135655,95.2,52.0,1.0,EventProcessingUnit,ScaleOut,
1423143140664,95.0,20.0,1.0,
