Time ,cpu_idle ,connectionRate ,instance ,pendingRequests ,throughput ,responseTime , ongoingAction, targetedNodeID
1423142880533,87.5,0.0,1.0,26.0,19.0,951.0,EventProcessingUnit,ScaleOut,
1423142885540,87.5,0.0,1.0,17.0,23.0,829.0,EventProcessingUnit,ScaleOut,
1423142890550,87.5,0.0,1.0,38.0,11.0,712.0,EventProcessingUnit,ScaleOut,
1423142895563,87.5,0.0,1.0,5.0,38.0,1006.0,EventProcessingUnit,ScaleOut,
1423142900591,87.5,0.0,1.0,48.0,0.0,505.0,EventProcessingUnit,ScaleOut,
1423142905575,87.5,0.0,1.0,6.0,38.0,1126.0,EventProcessingUnit,ScaleOut,
1423142910567,87.5,0.0,1.0,37.0,10.0,536.0,EventProcessingUnit,ScaleOut,
1423142915572,87.5,0.0,1.0,17.0,25.0,1114.0,EventProcessingUnit,ScaleOut,
1423142920596,87.5,0.0,1.0,26.0,20.0,630.0,EventProcessingUnit,ScaleOut,
1423142925616,87.5,0.0,1.0,29.0,17.0,893.0,EventProcessingUnit,ScaleOut,
1423142930600,87.5,0.0,1.0,14.0,29.0,835.0,EventProcessingUnit,ScaleOut,
1423142935579,87.5,0.0,1.0,41.0,5.0,700.0,EventProcessingUnit,ScaleOut,
1423142940585,87.5,0.0,1.0,2.0,35.0,1244.0,EventProcessingUnit,ScaleOut,
1423142945583,87.5,0.0,1.0,45.0,3.0,493.0,EventProcessingUnit,ScaleOut,
1423142950591,87.5,0.0,1.0,10.0,34.0,1111.0,EventProcessingUnit,ScaleOut,
1423142955582,89.7,0.0,1.0,33.0,11.0,601.0,EventProcessingUnit,ScaleOut,
1423142960590,89.7,0.0,1.0,22.0,22.0,1021.0,EventProcessingUnit,ScaleOut,
1423142965592,89.7,0.0,1.0,22.0,21.0,717.0,EventProcessingUnit,ScaleOut,
1423142970596,89.7,0.0,1.0,33.0,12.0,848.0,EventProcessingUnit,ScaleOut,
1423142975598,89.7,0.0,1.0,9.0,25.0,1144.0,EventProcessingUnit,ScaleOut,
1423142980596,89.7,0.0,1.0,45.0,5.0,571.0,EventProcessingUnit,ScaleOut,
1423142985605,89.7,0.0,1.0,2.0,35.0,1350.0,EventProcessingUnit,ScaleOut,
1423142990610,89.7,0.0,1.0,42.0,5.0,530.0,EventProcessingUnit,ScaleOut,
1423142995605,89.2,0.0,1.0,13.0,26.0,1234.0,EventProcessingUnit,ScaleOut,
1423143000605,89.2,0.0,1.0,30.0,15.0,609.0,EventProcessingUnit,ScaleOut,
1423143005613,89.2,0.0,1.0,25.0,21.0,948.0,EventProcessingUnit,ScaleOut,
1423143010601,89.2,0.0,1.0,18.0,24.0,798.0,EventProcessingUnit,ScaleOut,
1423143015606,90.5,0.0,1.0,36.0,13.0,744.0,EventProcessingUnit,ScaleOut,
1423143020606,90.5,0.0,1.0,8.0,28.0,1129.0,EventProcessingUnit,ScaleOut,
1423143025605,90.5,0.0,1.0,47.0,1.0,551.0,EventProcessingUnit,ScaleOut,
1423143030626,90.5,0.0,1.0,5.0,35.0,1244.0,EventProcessingUnit,ScaleOut,
1423143035619,89.4,0.0,1.0,37.0,8.0,548.0,EventProcessingUnit,ScaleOut,
1423143040619,89.4,0.0,1.0,17.0,29.0,1021.0,EventProcessingUnit,ScaleOut,
1423143045631,89.4,0.0,1.0,26.0,17.0,674.0,EventProcessingUnit,ScaleOut,
1423143050622,89.4,0.0,1.0,28.0,17.0,925.0,EventProcessingUnit,ScaleOut,
1423143055622,89.4,0.0,1.0,15.0,29.0,804.0,EventProcessingUnit,ScaleOut,
1423143060621,89.4,0.0,1.0,39.0,10.0,688.0,EventProcessingUnit,ScaleOut,
1423143065622,89.4,0.0,1.0,3.0,33.0,1225.0,EventProcessingUnit,ScaleOut,
1423143070625,89.4,0.0,1.0,46.0,2.0,498.0,EventProcessingUnit,ScaleOut,
1423143075626,90.5,0.0,1.0,9.0,34.0,1143.0,EventProcessingUnit,ScaleOut,
1423143080633,90.5,0.0,1.0,35.0,11.0,559.0,EventProcessingUnit,ScaleOut,
1423143085633,90.5,0.0,1.0,20.0,26.0,996.0,EventProcessingUnit,ScaleOut,
1423143090646,90.5,0.0,1.0,23.0,17.0,757.0,EventProcessingUnit,ScaleOut,
1423143095632,88.9,0.0,1.0,32.0,15.0,831.0,EventProcessingUnit,ScaleOut,
1423143100633,88.9,0.0,1.0,11.0,26.0,1031.0,EventProcessingUnit,ScaleOut,
1423143105642,88.9,0.0,1.0,45.0,3.0,608.0,EventProcessingUnit,ScaleOut,
1423143110635,88.9,0.0,1.0,2.0,38.0,1224.0,EventProcessingUnit,ScaleOut,
1423143115663,90.0,0.0,1.0,0.0,5.0,1400.0,EventProcessingUnit,ScaleOut,
1423143120641,90.0,0.0,1.0,53.0,31.0,645.0,EventProcessingUnit,ScaleOut,
1423143125640,90.0,0.0,1.0,66.0,27.0,819.0,EventProcessingUnit,ScaleOut,
1423143130648,90.0,0.0,1.0,11.0,69.0,1033.0,EventProcessingUnit,ScaleOut,
1423143135655,84.5,0.0,1.0,85.0,6.0,503.0,EventProcessingUnit,ScaleOut,
1423143140664,84.5,0.0,1.0,34.0,52.0,1088.0,
1423143145659,84.5,0.0,1.0,18.0,23.0,771.0,
1423143150664,84.5,0.0,1.0,41.0,8.0,646.0,
1423143155659,88.3,0.0,1.0,5.0,33.0,1309.0,
1423143160660,88.3,0.0,1.0,28.0,14.0,616.0,
1423143165681,88.3,0.0,1.0,33.0,12.0,843.0,
1423143170664,88.3,0.0,1.0,12.0,25.0,1118.0,
1423143175677,90.8,0.0,1.0,21.0,18.0,690.0,
1423143180674,90.8,0.0,1.0,38.0,7.0,673.0,
1423143185671,90.8,0.0,1.0,9.0,32.0,1198.0,
1423143190671,90.8,0.0,1.0,21.0,16.0,709.0,
1423143195675,90.8,0.0,1.0,42.0,5.0,601.0,
1423143200668,90.8,0.0,1.0,10.0,31.0,1191.0,
1423143205667,90.8,0.0,1.0,19.0,18.0,728.0,
1423143210672,90.8,0.0,1.0,40.0,6.0,707.0,
1423143215671,90.8,0.0,1.0,3.0,38.0,1169.0,EventProcessingUnit,ScaleOut,
1423143220669,90.8,0.0,1.0,34.0,9.0,553.0,EventProcessingUnit,ScaleOut,
1423143225670,90.8,0.0,1.0,25.0,16.0,1049.0,EventProcessingUnit,ScaleOut,
1423143230673,90.8,0.0,1.0,11.0,25.0,1007.0,EventProcessingUnit,ScaleOut,
1423143235672,90.7,0.0,1.0,46.0,1.0,504.0,EventProcessingUnit,ScaleOut,
1423143240675,90.7,0.0,1.0,12.0,31.0,1123.0,EventProcessingUnit,ScaleOut,
1423143245675,90.7,0.0,1.0,24.0,18.0,671.0,EventProcessingUnit,ScaleOut,
1423143250683,90.7,0.0,1.0,36.0,11.0,769.0,EventProcessingUnit,ScaleOut,
1423143255697,90.7,0.0,1.0,2.0,36.0,1158.0,EventProcessingUnit,ScaleOut,
1423143260677,90.7,0.0,1.0,37.0,6.0,543.0,EventProcessingUnit,ScaleOut,
1423143265688,90.7,0.0,1.0,22.0,25.0,953.0,EventProcessingUnit,ScaleOut,
1423143270679,90.7,0.0,1.0,17.0,20.0,865.0,EventProcessingUnit,ScaleOut,
1423143275684,90.7,0.0,1.0,43.0,4.0,636.0,EventProcessingUnit,ScaleOut,
1423143280684,90.7,0.0,1.0,7.0,36.0,1152.0,EventProcessingUnit,ScaleOut,
1423143285685,90.7,0.0,1.0,31.0,12.0,594.0,EventProcessingUnit,ScaleOut,
1423143290698,90.7,0.0,1.0,28.0,16.0,942.0,EventProcessingUnit,ScaleOut,
1423143295721,90.7,0.0,1.0,10.0,30.0,924.0,EventProcessingUnit,ScaleOut,
1423143300699,90.7,0.0,1.0,44.0,2.0,493.0,EventProcessingUnit,ScaleOut,
1423143305695,90.7,0.0,1.0,14.0,28.0,1137.0,EventProcessingUnit,ScaleOut,
1423143310707,90.7,0.0,1.0,23.0,20.0,649.0,EventProcessingUnit,ScaleOut,
