Time ,cost , ongoingAction, targetedNodeID
1423142880533,0.0643,EventProcessingUnit,ScaleOut,
1423142885540,0.0531,EventProcessingUnit,ScaleOut,
1423142890550,0.1111,EventProcessingUnit,ScaleOut,
1423142895563,0.0322,EventProcessingUnit,ScaleOut,
1423142900591,1.2222,EventProcessingUnit,ScaleOut,
1423142905575,0.0322,EventProcessingUnit,ScaleOut,
1423142910567,0.1222,EventProcessingUnit,ScaleOut,
1423142915572,0.0489,EventProcessingUnit,ScaleOut,
1423142920596,0.0611,EventProcessingUnit,ScaleOut,
1423142925616,0.0719,EventProcessingUnit,ScaleOut,
1423142930600,0.0421,EventProcessingUnit,ScaleOut,
1423142935579,0.2444,EventProcessingUnit,ScaleOut,
1423142940585,0.0349,EventProcessingUnit,ScaleOut,
1423142945583,0.4074,EventProcessingUnit,ScaleOut,
1423142950591,0.0359,EventProcessingUnit,ScaleOut,
1423142955582,0.1111,EventProcessingUnit,ScaleOut,
1423142960590,0.0556,EventProcessingUnit,ScaleOut,
1423142965592,0.0582,EventProcessingUnit,ScaleOut,
1423142970596,0.1019,EventProcessingUnit,ScaleOut,
1423142975598,0.0489,EventProcessingUnit,ScaleOut,
1423142980596,0.2444,EventProcessingUnit,ScaleOut,
1423142985605,0.0349,EventProcessingUnit,ScaleOut,
1423142990610,0.2444,EventProcessingUnit,ScaleOut,
1423142995605,0.047,EventProcessingUnit,ScaleOut,
1423143000605,0.0815,EventProcessingUnit,ScaleOut,
1423143005613,0.0582,EventProcessingUnit,ScaleOut,
1423143010601,0.0509,EventProcessingUnit,ScaleOut,
1423143015606,0.094,EventProcessingUnit,ScaleOut,
1423143020606,0.0437,EventProcessingUnit,ScaleOut,
1423143025605,1.2222,EventProcessingUnit,ScaleOut,
1423143030626,0.0349,EventProcessingUnit,ScaleOut,
1423143035619,0.1528,EventProcessingUnit,ScaleOut,
1423143040619,0.0421,EventProcessingUnit,ScaleOut,
1423143045631,0.0719,EventProcessingUnit,ScaleOut,
1423143050622,0.0719,EventProcessingUnit,ScaleOut,
1423143055622,0.0421,EventProcessingUnit,ScaleOut,
1423143060621,0.1222,EventProcessingUnit,ScaleOut,
1423143065622,0.037,EventProcessingUnit,ScaleOut,
1423143070625,0.6111,EventProcessingUnit,ScaleOut,
1423143075626,0.0359,EventProcessingUnit,ScaleOut,
1423143080633,0.1111,EventProcessingUnit,ScaleOut,
1423143085633,0.047,EventProcessingUnit,ScaleOut,
1423143090646,0.0719,EventProcessingUnit,ScaleOut,
1423143095632,0.0815,EventProcessingUnit,ScaleOut,
1423143100633,0.047,EventProcessingUnit,ScaleOut,
