Time ,pendingRequests ,throughput ,responseTime , ongoingAction, targetedNodeID
1423142880533,26.0,19.0,951.0,EventProcessingUnit,ScaleOut,
1423142885540,17.0,23.0,829.0,EventProcessingUnit,ScaleOut,
1423142890550,38.0,11.0,712.0,EventProcessingUnit,ScaleOut,
1423142895563,5.0,38.0,1006.0,EventProcessingUnit,ScaleOut,
1423142900591,48.0,0.0,505.0,EventProcessingUnit,ScaleOut,
1423142905575,6.0,38.0,1126.0,EventProcessingUnit,ScaleOut,
1423142910567,37.0,10.0,536.0,EventProcessingUnit,ScaleOut,
1423142915572,17.0,25.0,1114.0,EventProcessingUnit,ScaleOut,
1423142920596,26.0,20.0,630.0,EventProcessingUnit,ScaleOut,
1423142925616,29.0,17.0,893.0,EventProcessingUnit,ScaleOut,
1423142930600,14.0,29.0,835.0,EventProcessingUnit,ScaleOut,
1423142935579,41.0,5.0,700.0,EventProcessingUnit,ScaleOut,
1423142940585,2.0,35.0,1244.0,EventProcessingUnit,ScaleOut,
1423142945583,45.0,3.0,493.0,EventProcessingUnit,ScaleOut,
1423142950591,10.0,34.0,1111.0,EventProcessingUnit,ScaleOut,
1423142955582,33.0,11.0,601.0,EventProcessingUnit,ScaleOut,
1423142960590,22.0,22.0,1021.0,EventProcessingUnit,ScaleOut,
1423142965592,22.0,21.0,717.0,EventProcessingUnit,ScaleOut,
1423142970596,33.0,12.0,848.0,EventProcessingUnit,ScaleOut,
1423142975598,9.0,25.0,1144.0,EventProcessingUnit,ScaleOut,
1423142980596,45.0,5.0,571.0,EventProcessingUnit,ScaleOut,
1423142985605,2.0,35.0,1350.0,EventProcessingUnit,ScaleOut,
1423142990610,42.0,5.0,530.0,EventProcessingUnit,ScaleOut,
1423142995605,13.0,26.0,1234.0,EventProcessingUnit,ScaleOut,
1423143000605,30.0,15.0,609.0,EventProcessingUnit,ScaleOut,
1423143005613,25.0,21.0,948.0,EventProcessingUnit,ScaleOut,
1423143010601,18.0,24.0,798.0,EventProcessingUnit,ScaleOut,
1423143015606,36.0,13.0,744.0,EventProcessingUnit,ScaleOut,
1423143020606,8.0,28.0,1129.0,EventProcessingUnit,ScaleOut,
1423143025605,47.0,1.0,551.0,EventProcessingUnit,ScaleOut,
1423143030626,5.0,35.0,1244.0,EventProcessingUnit,ScaleOut,
1423143035619,37.0,8.0,548.0,EventProcessingUnit,ScaleOut,
1423143040619,17.0,29.0,1021.0,EventProcessingUnit,ScaleOut,
1423143045631,26.0,17.0,674.0,EventProcessingUnit,ScaleOut,
1423143050622,28.0,17.0,925.0,EventProcessingUnit,ScaleOut,
1423143055622,15.0,29.0,804.0,EventProcessingUnit,ScaleOut,
1423143060621,39.0,10.0,688.0,EventProcessingUnit,ScaleOut,
1423143065622,3.0,33.0,1225.0,EventProcessingUnit,ScaleOut,
1423143070625,46.0,2.0,498.0,EventProcessingUnit,ScaleOut,
1423143075626,9.0,34.0,1143.0,EventProcessingUnit,ScaleOut,
1423143080633,35.0,11.0,559.0,EventProcessingUnit,ScaleOut,
1423143085633,20.0,26.0,996.0,EventProcessingUnit,ScaleOut,
1423143090646,23.0,17.0,757.0,EventProcessingUnit,ScaleOut,
1423143095632,32.0,15.0,831.0,EventProcessingUnit,ScaleOut,
1423143100633,11.0,26.0,1031.0,EventProcessingUnit,ScaleOut,
1423143105642,45.0,3.0,608.0,EventProcessingUnit,ScaleOut,
1423143110635,2.0,38.0,1224.0,EventProcessingUnit,ScaleOut,
1423143115663,0.0,5.0,1400.0,EventProcessingUnit,ScaleOut,
1423143120641,53.0,31.0,645.0,EventProcessingUnit,ScaleOut,
1423143125640,66.0,27.0,819.0,EventProcessingUnit,ScaleOut,
1423143130648,11.0,69.0,1033.0,EventProcessingUnit,ScaleOut,
1423143135655,85.0,6.0,503.0,EventProcessingUnit,ScaleOut,
1423143140664,34.0,52.0,1088.0,
1423143145659,18.0,23.0,771.0,
1423143150664,41.0,8.0,646.0,
1423143155659,5.0,33.0,1309.0,
1423143160660,28.0,14.0,616.0,
1423143165681,33.0,12.0,843.0,
1423143170664,12.0,25.0,1118.0,
1423143175677,21.0,18.0,690.0,
1423143180674,38.0,7.0,673.0,
1423143185671,9.0,32.0,1198.0,
1423143190671,21.0,16.0,709.0,
1423143195675,42.0,5.0,601.0,
1423143200668,10.0,31.0,1191.0,
1423143205667,86.0,57.0,944.0,
1423143210672,54.0,35.0,748.5,
1423143215671,48.0,42.0,872.0,EventProcessingUnit,ScaleOut,
1423143220669,42.0,43.0,864.0,EventProcessingUnit,ScaleOut,
1423143225670,54.0,30.0,828.5,EventProcessingUnit,ScaleOut,
1423143230673,42.0,41.0,923.0,EventProcessingUnit,ScaleOut,
1423143235672,51.0,38.0,731.0,EventProcessingUnit,ScaleOut,
1423143240675,53.0,35.0,815.5,EventProcessingUnit,ScaleOut,
1423143245675,42.0,38.0,946.0,EventProcessingUnit,ScaleOut,
1423143250683,54.0,35.0,748.5,EventProcessingUnit,ScaleOut,
1423143255697,42.0,45.0,909.0,EventProcessingUnit,ScaleOut,
1423143260677,42.0,42.0,866.0,EventProcessingUnit,ScaleOut,
1423143265688,54.0,36.0,769.0,EventProcessingUnit,ScaleOut,
1423143270679,44.0,41.0,873.5,EventProcessingUnit,ScaleOut,
1423143275684,53.0,30.0,807.0,EventProcessingUnit,ScaleOut,
1423143280684,51.0,37.0,846.0,EventProcessingUnit,ScaleOut,
1423143285685,44.0,39.0,899.0,EventProcessingUnit,ScaleOut,
1423143290698,53.0,30.0,816.0,EventProcessingUnit,ScaleOut,
1423143295721,43.0,45.0,862.0,EventProcessingUnit,ScaleOut,
1423143300699,46.0,32.0,887.5,EventProcessingUnit,ScaleOut,
1423143305695,53.0,33.0,833.5,EventProcessingUnit,ScaleOut,
1423143310707,43.0,44.0,845.0,EventProcessingUnit,ScaleOut,
1423143315696,56.0,29.0,760.0,EventProcessingUnit,ScaleOut,
1423143320753,45.0,40.0,922.0,EventProcessingUnit,ScaleOut,
1423143325733,43.0,44.0,861.0,EventProcessingUnit,ScaleOut,
1423143330740,53.0,35.0,792.5,EventProcessingUnit,ScaleOut,
1423143335747,54.0,32.0,786.5,EventProcessingUnit,ScaleOut,
1423143340754,54.0,32.0,786.5,EventProcessingUnit,ScaleOut,
1423143345756,42.0,43.0,869.5,EventProcessingUnit,ScaleOut,
1423143350760,54.0,32.0,771.0,EventProcessingUnit,ScaleOut,
1423143355769,54.0,32.0,771.0,EventProcessingUnit,ScaleOut,
1423143360770,42.0,39.0,888.5,EventProcessingUnit,ScaleOut,
1423143365764,54.0,35.0,774.5,EventProcessingUnit,ScaleOut,
1423143370773,54.0,35.0,774.5,EventProcessingUnit,ScaleOut,
1423143375782,42.0,41.0,889.0,EventProcessingUnit,ScaleOut,
1423143380770,48.0,39.0,928.0,EventProcessingUnit,ScaleOut,
1423143385783,48.0,39.0,928.0,EventProcessingUnit,ScaleOut,
1423143390774,43.0,42.0,854.0,EventProcessingUnit,ScaleOut,
1423143395774,41.0,41.0,911.0,EventProcessingUnit,ScaleOut,
1423143400775,51.0,29.0,847.0,EventProcessingUnit,ScaleOut,
1423143405779,51.0,29.0,847.0,EventProcessingUnit,ScaleOut,
1423143410782,41.0,39.0,912.0,EventProcessingUnit,ScaleOut,
1423143415785,53.0,36.0,743.5,EventProcessingUnit,ScaleOut,
1423143420792,42.0,46.0,883.0,EventProcessingUnit,ScaleOut,
1423143425799,41.0,46.0,830.0,EventProcessingUnit,ScaleOut,
1423143430808,54.0,34.0,794.0,EventProcessingUnit,ScaleOut,
1423143435817,43.0,39.0,901.5,EventProcessingUnit,ScaleOut,
1423143440843,54.0,34.0,775.5,EventProcessingUnit,ScaleOut,
1423143445831,50.0,41.0,813.5,EventProcessingUnit,ScaleOut,
1423143450832,43.0,40.0,879.5,EventProcessingUnit,ScaleOut,
1423143455837,43.0,40.0,879.5,EventProcessingUnit,ScaleOut,
1423143460844,54.0,31.0,786.0,EventProcessingUnit,ScaleOut,
1423143465837,43.0,42.0,819.5,EventProcessingUnit,ScaleOut,
1423143470838,54.0,33.0,819.5,EventProcessingUnit,ScaleOut,
1423143475839,42.0,47.0,828.5,EventProcessingUnit,ScaleOut,
1423143480840,54.0,32.0,760.5,EventProcessingUnit,ScaleOut,
1423143485839,49.0,43.0,838.5,EventProcessingUnit,ScaleOut,
1423143490840,42.0,37.0,974.5,EventProcessingUnit,ScaleOut,
1423143495840,53.0,32.0,804.0,EventProcessingUnit,ScaleOut,
1423143500841,39.0,35.0,857.5,
1423143505841,35.0,23.0,774.5,
1423143510841,35.0,21.0,831.5,
1423143515843,27.0,29.0,868.0,
1423143520841,36.0,22.0,773.0,
1423143525841,29.0,18.0,1264.5,
1423143530881,27.0,31.0,823.5,
1423143535849,37.0,21.0,760.0,
1423143540850,37.0,21.0,760.0,
1423143545843,28.0,28.0,828.5,
1423143550869,28.0,28.0,828.5,
1423143555847,36.0,21.0,814.0,
1423143560848,67.0,105.0,791.3333,
1423143565845,48.0,39.0,945.0,
1423143570846,42.0,36.0,929.6667,
1423143575850,62.0,27.0,747.6667,
1423143580846,31.0,56.0,963.3333,
1423143585847,31.0,56.0,963.3333,
1423143590847,53.0,39.0,834.3333,
1423143595847,38.0,41.0,928.0,
1423143600848,38.0,41.0,928.0,EventProcessingUnit,ScaleOut,
1423143605855,36.0,46.0,1053.3333,EventProcessingUnit,ScaleOut,
1423143610861,43.0,37.0,837.6667,EventProcessingUnit,ScaleOut,
1423143615862,59.0,29.0,814.6667,EventProcessingUnit,ScaleOut,
1423143620864,29.0,52.0,1031.3333,EventProcessingUnit,ScaleOut,
1423143625871,55.0,29.0,743.0,EventProcessingUnit,ScaleOut,
1423143630878,50.0,37.0,879.6667,EventProcessingUnit,ScaleOut,
1423143635883,38.0,48.0,841.0,EventProcessingUnit,ScaleOut,
1423143640887,65.0,29.0,694.3333,EventProcessingUnit,ScaleOut,
