Time ,totalPendingRequests ,avgPendingRequests ,connectionRate ,totalThroughput ,avgThroughput ,cpuUsage ,instances ,cost ,avgResponseTime , ongoingAction, targetedNodeID
1423142880533,26.0,26.0,0.0,19.0,19.0,12.5,1.0,0.12,951.0,EventProcessingUnit,ScaleOut,
1423142885540,17.0,17.0,0.0,23.0,23.0,12.5,1.0,0.12,829.0,EventProcessingUnit,ScaleOut,
1423142890550,38.0,38.0,0.0,11.0,11.0,12.5,1.0,0.12,712.0,EventProcessingUnit,ScaleOut,
1423142895563,5.0,5.0,0.0,38.0,38.0,12.5,1.0,0.12,1006.0,EventProcessingUnit,ScaleOut,
1423142900591,48.0,48.0,0.0,0.0,0.0,12.5,1.0,0.12,505.0,EventProcessingUnit,ScaleOut,
1423142905575,6.0,6.0,0.0,38.0,38.0,12.5,1.0,0.12,1126.0,EventProcessingUnit,ScaleOut,
1423142910567,37.0,37.0,0.0,10.0,10.0,12.5,1.0,0.12,536.0,EventProcessingUnit,ScaleOut,
1423142915572,17.0,17.0,0.0,25.0,25.0,12.5,1.0,0.12,1114.0,EventProcessingUnit,ScaleOut,
1423142920596,26.0,26.0,0.0,20.0,20.0,12.5,1.0,0.12,630.0,EventProcessingUnit,ScaleOut,
1423142925616,29.0,29.0,0.0,17.0,17.0,12.5,1.0,0.12,893.0,EventProcessingUnit,ScaleOut,
1423142930600,14.0,14.0,0.0,29.0,29.0,12.5,1.0,0.12,835.0,EventProcessingUnit,ScaleOut,
1423142935579,41.0,41.0,0.0,5.0,5.0,12.5,1.0,0.12,700.0,EventProcessingUnit,ScaleOut,
1423142940585,2.0,2.0,0.0,35.0,35.0,12.5,1.0,0.12,1244.0,EventProcessingUnit,ScaleOut,
1423142945583,45.0,45.0,0.0,3.0,3.0,12.5,1.0,0.12,493.0,EventProcessingUnit,ScaleOut,
1423142950591,10.0,10.0,0.0,34.0,34.0,12.5,1.0,0.12,1111.0,EventProcessingUnit,ScaleOut,
1423142955582,33.0,33.0,0.0,11.0,11.0,10.3,1.0,0.12,601.0,EventProcessingUnit,ScaleOut,
1423142960590,22.0,22.0,0.0,22.0,22.0,10.3,1.0,0.12,1021.0,EventProcessingUnit,ScaleOut,
1423142965592,22.0,22.0,0.0,21.0,21.0,10.3,1.0,0.12,717.0,EventProcessingUnit,ScaleOut,
1423142970596,33.0,33.0,0.0,12.0,12.0,10.3,1.0,0.12,848.0,EventProcessingUnit,ScaleOut,
1423142975598,9.0,9.0,0.0,25.0,25.0,10.3,1.0,0.12,1144.0,EventProcessingUnit,ScaleOut,
1423142980596,45.0,45.0,0.0,5.0,5.0,10.3,1.0,0.12,571.0,EventProcessingUnit,ScaleOut,
1423142985605,2.0,2.0,0.0,35.0,35.0,10.3,1.0,0.12,1350.0,EventProcessingUnit,ScaleOut,
1423142990610,42.0,42.0,0.0,5.0,5.0,10.3,1.0,0.12,530.0,EventProcessingUnit,ScaleOut,
1423142995605,13.0,13.0,0.0,26.0,26.0,10.8,1.0,0.12,1234.0,EventProcessingUnit,ScaleOut,
1423143000605,30.0,30.0,0.0,15.0,15.0,10.8,1.0,0.12,609.0,EventProcessingUnit,ScaleOut,
1423143005613,25.0,25.0,0.0,21.0,21.0,10.8,1.0,0.12,948.0,EventProcessingUnit,ScaleOut,
1423143010601,18.0,18.0,0.0,24.0,24.0,10.8,1.0,0.12,798.0,EventProcessingUnit,ScaleOut,
1423143015606,36.0,36.0,0.0,13.0,13.0,9.5,1.0,0.12,744.0,EventProcessingUnit,ScaleOut,
1423143020606,8.0,8.0,0.0,28.0,28.0,9.5,1.0,0.12,1129.0,EventProcessingUnit,ScaleOut,
1423143025605,47.0,47.0,0.0,1.0,1.0,9.5,1.0,0.12,551.0,EventProcessingUnit,ScaleOut,
1423143030626,5.0,5.0,0.0,35.0,35.0,9.5,1.0,0.12,1244.0,EventProcessingUnit,ScaleOut,
1423143035619,37.0,37.0,0.0,8.0,8.0,10.6,1.0,0.12,548.0,EventProcessingUnit,ScaleOut,
1423143040619,17.0,17.0,0.0,29.0,29.0,10.6,1.0,0.12,1021.0,EventProcessingUnit,ScaleOut,
1423143045631,26.0,26.0,0.0,17.0,17.0,10.6,1.0,0.12,674.0,EventProcessingUnit,ScaleOut,
1423143050622,28.0,28.0,0.0,17.0,17.0,10.6,1.0,0.12,925.0,EventProcessingUnit,ScaleOut,
1423143055622,15.0,15.0,0.0,29.0,29.0,10.6,1.0,0.12,804.0,EventProcessingUnit,ScaleOut,
1423143060621,39.0,39.0,0.0,10.0,10.0,10.6,1.0,0.12,688.0,EventProcessingUnit,ScaleOut,
1423143065622,3.0,3.0,0.0,33.0,33.0,10.6,1.0,0.12,1225.0,EventProcessingUnit,ScaleOut,
1423143070625,46.0,46.0,0.0,2.0,2.0,10.6,1.0,0.12,498.0,EventProcessingUnit,ScaleOut,
1423143075626,9.0,9.0,0.0,34.0,34.0,9.5,1.0,0.12,1143.0,EventProcessingUnit,ScaleOut,
1423143080633,35.0,35.0,0.0,11.0,11.0,9.5,1.0,0.12,559.0,EventProcessingUnit,ScaleOut,
1423143085633,20.0,20.0,0.0,26.0,26.0,9.5,1.0,0.12,996.0,EventProcessingUnit,ScaleOut,
1423143090646,23.0,23.0,0.0,17.0,17.0,9.5,1.0,0.12,757.0,EventProcessingUnit,ScaleOut,
1423143095632,32.0,32.0,0.0,15.0,15.0,11.1,1.0,0.12,831.0,EventProcessingUnit,ScaleOut,
1423143100633,11.0,11.0,0.0,26.0,26.0,11.1,1.0,0.12,1031.0,EventProcessingUnit,ScaleOut,
1423143105642,45.0,45.0,0.0,3.0,3.0,11.1,1.0,0.12,608.0,EventProcessingUnit,ScaleOut,
1423143110635,2.0,2.0,0.0,38.0,38.0,11.1,1.0,0.12,1224.0,EventProcessingUnit,ScaleOut,
1423143115663,0.0,0.0,0.0,5.0,5.0,10.0,1.0,0.12,1400.0,EventProcessingUnit,ScaleOut,
