Time ,connectionRate ,cpuUsage ,instances ,cost , ongoingAction, targetedNodeID
1423142880533,4.0,2.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142885540,46.0,2.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142890550,8.0,2.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142895563,34.0,2.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142900591,20.0,3.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142905575,23.0,3.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142910567,30.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142915572,12.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142920596,41.0,2.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142925616,1.0,2.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142930600,42.0,2.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142935579,12.0,2.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142940585,30.0,5.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142945583,23.0,5.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142950591,19.0,2.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142955582,34.0,2.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142960590,8.0,3.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142965592,45.0,3.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142970596,4.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142975598,38.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142980596,16.0,2.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142985605,26.0,2.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142990610,26.0,6.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423142995605,16.0,6.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143000605,37.0,3.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143005613,4.0,3.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143010601,46.0,2.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143015606,7.0,2.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143020606,35.0,3.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143025605,18.0,3.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143030626,23.0,3.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143035619,31.0,3.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143040619,12.0,2.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143045631,41.0,2.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143050622,1.0,3.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143055622,42.0,3.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143060621,11.0,3.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143065622,31.0,3.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143070625,23.0,2.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143075626,19.0,2.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143080633,33.0,3.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143085633,8.0,3.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143090646,45.0,3.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143095632,4.0,3.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143100633,37.0,2.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143105642,16.0,2.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143110635,26.0,2.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143115663,0.0,2.8,1.0,0.32,EventProcessingUnit,ScaleOut,
